subject,campus_suffix,course_number,credits,title,description,prerequisite_raw,corequisite_raw,exclusion_raw
AANB,_V,500,3,Graduate Seminar,This course is not eligible for Credit/D/Fail grading.,,,
AANB,_V,504,3,Research Methodology in Applied Animal Biology,This course is not eligible for Credit/D/Fail grading.,,,
AANB,_V,515,3,Animal Welfare and Animal Ethics,"Credit will be granted for only one of APBI_V 315, ANSC_V 515, or AANB_V 515. Prerequisite: Standing as a graduate student. This course is not eligible for Credit/D/Fail grading.",Standing as a graduate student. This course is not eligible for Credit/D/Fail grading.,,"Credit will be granted for only one of APBI_V 315, ANSC_V 515, or AANB_V 515. Prerequisite: Standing as a graduate student. This course is not eligible for Credit/D/Fail grading."
AANB,_V,550,3,Topics in Animal Welfare,This course is not eligible for Credit/D/Fail grading.,,,
AANB,_V,551,3,Tutorials in Animal Welfare Research,This course is not eligible for Credit/D/Fail grading.,,,
AANB,_V,649,0,Doctoral Dissertation,This course is not eligible for Credit/D/Fail grading.,,,
ACAM,_V,100,3,Introduction to Asian Canadian Studies,"Asian Canadian identity, communities, histories, politics, and cultural production, with attention to the diverse approaches and methods that animate Asian Canadian Studies.",,,
ACAM,_V,250,3,Asian Canadians in Popular Culture,"Popular culture's role in the production of Asian Canadian and diasporic communities, with emphasis on race, gender, sexuality, and other identity categories.",,,
ACAM,_V,300,3,Dis/Orienting Asian Canada,"The histories, cultures, social dynamics, and life experiences of Asian communities in Canada in the context of global migrations. Restricted to students with second year status or higher.",,,
ACAM,_V,310,3,Asian Canadian Cultural Studies,"Examines Asian Canadian communities and cultural production in relation to local activism, organizing, and cultural politics in historical and contemporary contexts. Restricted to students with second year standing or higher.",,,
ACAM,_V,330,3,Understanding Asian Diasporic Health and Well-Being,"Social issues that impact the health of Asian Canadian communities, with emphasis on race, colonialism, migration, community diversity, and intersectional identities.",,,
ACAM,_V,350,3,Asian Canadian Community-Based Media,"Digital media production in the context of community engagement. Includes critical media literacy, community-based research ethics, project design, training in media forms such audio, video, photography, and web publishing.",,,
ADHE,_V,327,3,Teaching Adults,"Planning, conducting and evaluating instruction for adults. Consideration is given to different beliefs and ways of thinking about teaching. [3-0-0]",,,
ADHE,_V,328,3,Institutions of Adult Education,"The history, roles, and activities of institutions in the field of adult education. Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined. [3-0-0]",,,
